Major Citie,Country Name,UTC Dif,Sum,Sum T
ケーシー基地,ケーシー基地,11,11,0
ガダルカナル島,ソロモン諸島,11,11,0
ヌメア,ニューカレドニア,11,11,0
ノーフォーク島,ノーフォーク島,10,11,1
ポートビラ,バヌアツ,11,11,0
ブーゲンビル島,パプアニューギニア,11,11,0
ポンペイ州,ミクロネシア連邦,11,11,0
コスラエ州,ミクロネシア連邦,11,11,0
スレドネコリムスク,ロシア,11,11,0
アムンゼン・スコット基地,アムンゼン・スコット基地,11,12,1
ウォリス島,ウォリス・フツナ,12,12,0
タラワ環礁,キリバス,12,12,0
フナフティ島,ツバル,12,12,0
ナウル,ナウル,12,12,0
オークランド,ニュージーランド,11,12,1
スバ,フィジー,11,12,1
マジュロ,マーシャル諸島,12,12,0
マクマード基地,マクマード基地,11,12,1
カムチャッカ,ロシア,12,12,0
ウェーク島,合衆国領有小離島,12,12,0
チャタム島,ニュージーランド,11.75,12.75,1
エンダーベリー島,キリバス,13,13,0
アピア,サモア,13,13,0
ファカオフォ島,トケラウ諸島,13,13,0
トンガタプ島,トンガ,13,13,0
キリスィマスィ島,キリバス,14,14,0
